month,cpih,bank_rate,gva,gva_mom,gva_yoy,unemployment,awe_real_growth,total_consumption_cvm,retail,petrol,diesel,year
2003-06-01,76.7,3.5,74.8,0.7,5.0,5.1,1.7,316413.0,78.1,74.41333333333334,76.60666666666667,2003
2003-07-01,76.6,3.5,75.1,0.4,3.6,5.1,1.7,317196.0,78.3,74.66499999999999,76.6575,2003
2003-08-01,76.8,3.5,75.1,0.1,3.3,5.0,2.2,317979.0,78.1,75.605,77.2525,2003
2003-09-01,77.0,3.5,75.5,0.5,3.4,5.0,2.3,318762.0,79.0,76.158,77.59400000000001,2003
2003-10-01,77.1,3.5,75.9,0.5,3.8,4.9,2.3,319351.0,79.1,76.095,77.535,2003
2003-11-01,77.1,3.75,75.7,-0.4,3.2,4.9,2.4,319940.0,79.2,75.9725,77.545,2003
2003-12-01,77.3,3.75,76.0,0.5,3.6,4.8,3.0,320529.0,79.4,75.958,77.624,2003
2004-01-01,77.0,3.75,75.9,-0.2,3.0,4.8,1.9,321069.3333333333,81.0,76.145,77.805,2004
2004-02-01,77.2,4.0,76.0,0.1,2.8,4.8,1.8,321609.6666666667,80.5,76.45,78.01,2004
2004-03-01,77.3,4.0,76.1,0.2,3.2,4.8,2.3,322150.0,80.8,77.09400000000001,78.57000000000001,2004
2004-04-01,77.6,4.0,76.0,-0.2,2.1,4.8,2.4,323152.3333333333,81.2,78.045,79.42,2004
2004-05-01,77.9,4.25,76.3,0.5,2.7,4.8,2.1,324154.6666666667,81.7,81.10999999999999,82.44800000000001,2004
2004-06-01,77.9,4.5,76.5,0.2,2.3,4.8,2.0,325157.0,82.1,81.3575,82.345,2004
2004-07-01,77.7,4.5,76.5,-0.1,1.8,4.7,2.3,325765.6666666667,82.0,80.48,81.235,2004
2004-08-01,77.9,4.75,76.4,-0.2,1.6,4.7,2.5,326374.3333333333,82.0,81.266,82.394,2004
2004-09-01,77.9,4.75,76.6,0.3,1.4,4.7,2.4,326983.0,82.6,81.39750000000001,83.08,2004
2004-10-01,78.1,4.75,76.9,0.4,1.3,4.7,2.6,327717.3333333333,81.9,83.1125,85.055,2004
2004-11-01,78.3,4.75,76.9,0.1,1.7,4.7,2.2,328451.6666666667,82.3,83.7,86.182,2004
2004-12-01,78.6,4.75,77.0,0.0,1.2,4.7,2.4,329186.0,81.8,82.3625,85.6725,2004
2005-01-01,78.3,4.75,77.8,1.0,2.5,4.8,2.5,330252.3333333333,82.5,79.682,84.406,2005
2005-02-01,78.5,4.75,77.7,-0.1,2.3,4.7,2.5,331318.6666666667,82.0,80.1175,84.4,2005
2005-03-01,78.8,4.75,77.3,-0.5,1.5,4.7,2.6,332385.0,81.4,82.225,86.6225,2005
2005-04-01,79.1,4.75,78.4,1.5,3.2,4.8,2.2,332709.0,81.9,85.16499999999999,89.38499999999999,2005
2005-05-01,79.4,4.75,78.0,-0.5,2.2,4.8,2.3,333033.0,81.4,85.00399999999999,89.11,2005
2005-06-01,79.4,4.75,78.5,0.6,2.6,4.7,2.3,333357.0,81.9,85.3125,89.25,2005
2005-07-01,79.5,4.75,79.0,0.6,3.3,4.7,2.0,334204.6666666667,81.8,88.1925,92.1475,2005
2005-08-01,79.7,4.5,79.0,0.0,3.4,4.7,2.1,335052.3333333333,81.4,90.334,94.28,2005
2005-09-01,79.9,4.5,79.4,0.5,3.6,4.9,2.0,335900.0,82.0,94.295,97.1675,2005
2005-10-01,80.0,4.5,79.3,-0.1,3.1,5.1,1.8,336210.0,82.4,93.632,96.806,2005
2005-11-01,80.0,4.5,80.1,1.0,4.0,5.1,2.0,336520.0,83.1,89.74,94.1325,2005
2005-12-01,80.3,4.5,80.7,0.8,4.8,5.1,1.5,336830.0,82.6,87.4975,91.8075,2005
2006-01-01,80.0,4.5,80.4,-0.4,3.4,5.2,1.8,336339.6666666667,82.3,89.006,93.19,2006
2006-02-01,80.2,4.5,80.3,-0.1,3.3,5.2,2.0,335849.3333333333,82.3,89.6225,93.765,2006
2006-03-01,80.4,4.5,80.6,0.4,4.2,5.3,1.7,335359.0,82.9,90.0675,94.2125,2006
2006-04-01,80.9,4.5,80.2,-0.4,2.3,5.4,1.5,335517.0,82.9,93.5325,97.045,2006
2006-05-01,81.3,4.5,80.6,0.5,3.3,5.5,1.5,335675.0,83.4,96.088,98.546,2006
2006-06-01,81.5,4.5,80.8,0.2,2.9,5.5,1.5,335833.0,83.8,95.285,97.6075,2006
2006-07-01,81.5,4.5,80.3,-0.5,1.7,5.5,1.1,336763.3333333333,83.5,96.69,98.63,2006
2006-08-01,81.8,4.75,80.6,0.3,2.1,5.5,0.7,337693.6666666667,83.5,96.5025,98.405,2006
2006-09-01,81.9,4.75,80.9,0.3,1.9,5.5,1.0,338624.0,83.2,90.585,94.93,2006
2006-10-01,82.0,4.75,80.4,-0.6,1.4,5.4,1.5,338862.3333333333,84.1,86.16,91.57,2006
2006-11-01,82.2,5.0,80.8,0.5,0.9,5.5,1.3,339100.6666666667,84.3,85.4875,91.1525,2006
2006-12-01,82.6,5.0,81.5,0.9,1.0,5.5,1.2,339339.0,84.9,87.125,92.7825,2006
2007-01-01,82.1,5.25,81.5,0.0,1.4,5.5,1.1,340615.6666666667,83.9,86.91,91.642,2007
2007-02-01,82.4,5.25,81.9,0.5,2.1,5.5,1.1,341892.3333333333,85.0,86.35249999999999,90.3275,2007
2007-03-01,82.8,5.25,82.1,0.2,1.9,5.5,1.1,343169.0,85.2,88.6175,92.32,2007
2007-04-01,83.1,5.25,82.3,0.3,2.6,5.4,1.2,344446.3333333333,85.7,92.004,94.838,2007
2007-05-01,83.3,5.5,82.7,0.5,2.6,5.4,1.7,345723.6666666667,85.2,95.3425,96.5675,2007
