month,fundamentalist_weight,extrapolator_weight,behavioural_response
2003-06-01,,,
2003-07-01,,,
2003-08-01,,,
2003-09-01,,,
2003-10-01,,,
2003-11-01,,,
2003-12-01,,,
2004-01-01,,,
2004-02-01,,,
2004-03-01,,,
2004-04-01,,,
2004-05-01,,,
2004-06-01,,,
2004-07-01,,,
2004-08-01,,,
2004-09-01,,,
2004-10-01,,,
2004-11-01,,,
2004-12-01,,,
2005-01-01,,,
2005-02-01,,,
2005-03-01,,,
2005-04-01,,,
2005-05-01,0.9843440801439822,0.015655919856017775,0.06853969804428311
2005-06-01,0.8080603408212153,0.19193965917878475,-0.05874228821197812
2005-07-01,0.11669505472794017,0.8833049452720598,-0.10643767935355214
2005-08-01,0.00018348583853285163,0.9998165141614671,-0.00012040104986404845
2005-09-01,1.6780143288695148e-06,0.9999983219856712,-1.7168445314461715e-06
2005-10-01,0.0316978374194688,0.9683021625805313,0.004785292366601251
2005-11-01,0.9860262136215905,0.013973786378409514,0.9726724906521771
2005-12-01,0.7884499311330193,0.2115500688669807,0.5554002903639839
2006-01-01,0.9867402695804824,0.013259730419517557,-0.44261204713640384
2006-02-01,0.9772009032650387,0.022799096734961277,-0.1785873252985033
2006-03-01,0.4818752483520983,0.5181247516479017,-0.06553446774011046
2006-04-01,0.11257012332537297,0.887429876674627,-0.10617625217065323
2006-05-01,0.011988620239200007,0.9880113797608,-0.007100353174602525
2006-06-01,0.05155109931005316,0.9484489006899468,0.012962836350962093
2006-07-01,0.44858293271511135,0.5514170672848886,-0.15737282358313393
2006-08-01,0.999995277352067,4.7226479330531035e-06,0.059148725831829896
2006-09-01,0.9999999999242004,7.579958882786286e-11,1.3892496266784173
2006-10-01,0.9999929199019817,7.080098018308334e-06,1.205652904753527
2006-11-01,0.99992261116605,7.738883395003171e-05,0.17366559586548302
2006-12-01,0.9999999216409163,7.83590836661574e-08,-0.5137694259273381
2007-01-01,0.9999887290069841,1.12709930158994e-05,0.20774549494466682
2007-02-01,0.999944392328131,5.560767186896243e-05,0.2923467466384875
2007-03-01,0.9999941884055408,5.811594459226299e-06,-0.6679423790069767
2007-04-01,0.9999997031790687,2.9682093127814113e-07,-0.9017687038548533
2007-05-01,0.9999994988278548,5.011721452286011e-07,-0.7520192813037193
2007-06-01,0.9999999146904668,8.530953321539414e-08,-0.2618352354514234
2007-07-01,0.999999996985249,3.0147510043931902e-09,0.0952617434625967
2007-08-01,0.9999997610360754,2.3896392464806127e-07,0.12263064177304453
2007-09-01,0.9994652663234014,0.0005347336765986199,0.13912471637860022
2007-10-01,0.9996301341337167,0.0003698658662832921,-0.8029852971885406
2007-11-01,0.024066291085444527,0.9759337089145554,-0.028618180199436186
2007-12-01,2.0833636051130505e-08,0.999999979166364,-1.3084551348847968e-08
2008-01-01,1.1415625781612917e-09,0.9999999988584374,-4.0050344930721264e-10
2008-02-01,2.1356686117509653e-12,0.9999999999978644,-1.5290698258624313e-13
2008-03-01,1.9826952212521147e-16,0.9999999999999998,-1.5628555839834815e-16
2008-04-01,1.027214887669516e-21,1.0,-7.80855744016902e-22
2008-05-01,1.4690343684090707e-28,1.0,-1.7982060338904604e-28
2008-06-01,1.6841531847939267e-37,1.0,-2.412972966817753e-37
2008-07-01,7.345052318468873e-36,1.0,-2.383287423884487e-36
2008-08-01,8.760733019391291e-30,1.0,1.213849498670912e-29
2008-09-01,6.438462035183993e-26,1.0,3.0165071697182405e-26
2008-10-01,7.545911745660266e-26,1.0,1.3232837241054367e-25
2008-11-01,1.0058191446134944e-33,1.0,2.2196542673108073e-33
2008-12-01,3.58884344629911e-43,1.0,6.383078357281159e-43
2009-01-01,1.5798722069154758e-39,1.0,1.6076415152935017e-39
2009-02-01,3.5091598138636945e-32,1.0,-2.791731728011881e-32
2009-03-01,6.463411778837897e-29,1.0,-5.451219038065138e-30
2009-04-01,5.90508706937117e-24,1.0,-5.6239474886997044e-24
2009-05-01,4.207092144768083e-16,0.9999999999999996,-2.085454831062276e-16
2009-06-01,1.2076729233207105e-07,0.9999998792327077,-9.464285045450797e-08
2009-07-01,2.4416575777518025e-09,0.9999999975583425,-1.6212760943151856e-10
2009-08-01,2.9540162783702173e-17,1.0,-7.1506806372173e-18
2009-09-01,2.7196845012518834e-21,1.0,-1.7440177889371012e-21
2009-10-01,5.620912357734323e-24,1.0,9.698146679439477e-25
2009-11-01,6.421175391378853e-17,0.9999999999999999,-5.043771469806903e-17
2009-12-01,5.092240665967983e-09,0.9999999949077594,2.1885776044115484e-10
2010-01-01,4.341498984645771e-15,0.9999999999999957,-3.376762164190466e-15
2010-02-01,7.1171812278606245e-25,1.0,-1.5526323256587762e-25
2010-03-01,4.1120416689124903e-32,1.0,-2.8924515277425273e-32
2010-04-01,1.4827561569262746e-38,1.0,-1.837230782375428e-38
2010-05-01,1.1659666521353113e-38,1.0,-1.5445753845705847e-39
2010-06-01,5.120655720902994e-37,1.0,2.6101532616449707e-37
2010-07-01,3.705627592987549e-38,1.0,6.422563041696762e-39
2010-08-01,8.222382074394543e-37,1.0,2.387255768492786e-37
2010-09-01,3.883179712025051e-35,1.0,8.964517671828202e-36
2010-10-01,7.250542841481257e-31,1.0,-4.00061771342981e-31
2010-11-01,6.133817217404515e-28,1.0,-2.975664808807654e-28
2010-12-01,5.91804724849598e-26,1.0,-4.676049180890967e-26
2011-01-01,6.26289978123946e-26,1.0,-7.687598101855281e-26
2011-02-01,7.825169642677064e-26,1.0,-3.1885339080557026e-26
2011-03-01,2.334613598134223e-24,1.0,-1.8592276638947825e-24
2011-04-01,6.709409558084155e-24,1.0,-3.039063927212907e-24
2011-05-01,2.4326470628785183e-28,1.0,-6.760051628891149e-29
2011-06-01,1.4350763703499314e-31,1.0,3.8690649722493687e-32
2011-07-01,2.8323317039941195e-34,1.0,4.996575623859824e-35
2011-08-01,3.2280588198610486e-36,1.0,-6.455677123736682e-37
2011-09-01,1.0613387904362401e-37,1.0,6.660951299134725e-39
2011-10-01,1.4109579081922152e-38,1.0,2.899745292172678e-40
2011-11-01,8.777193949720594e-38,1.0,1.568499544032791e-39
2011-12-01,6.485530395011505e-35,1.0,6.700586536793856e-36
2012-01-01,4.402197438384438e-30,1.0,-6.224397466579261e-31
2012-02-01,2.9005507210511047e-24,1.0,-9.83496538242894e-25
2012-03-01,4.124672385585476e-19,1.0,-2.4237664847078573e-19
2012-04-01,4.494642040176861e-12,0.9999999999955054,-2.3252630918070478e-12
2012-05-01,0.6443163842838661,0.35568361571613394,0.5633646491162579
2012-06-01,0.9989762448808152,0.0010237551191848437,0.9123243051930829
2012-07-01,0.999999952052848,4.794715202649513e-08,0.28841956112372447
2012-08-01,1.0,0.0,-0.6987008121970449
2012-09-01,1.0,0.0,-0.7353835136094171
2012-10-01,1.0,0.0,0.15216138147190533
2012-11-01,1.0,0.0,0.4412769083004328
2012-12-01,1.0,0.0,0.44052561310943306
2013-01-01,1.0,0.0,0.027927013160544592
2013-02-01,1.0,0.0,-0.7823734822463853
2013-03-01,1.0,0.0,-0.40811514924377645
2013-04-01,1.0,0.0,0.5912018399679241
2013-05-01,1.0,0.0,0.6384593358127938
2013-06-01,1.0,0.0,-0.1977588920489068
2013-07-01,1.0,0.0,-0.11150829079268154
2013-08-01,1.0,0.0,-0.393046866036367
2013-09-01,1.0,0.0,0.03345581937725803
2013-10-01,1.0,0.0,0.8113355061690763
2013-11-01,0.9999999999999896,1.0436096431476471e-14,0.3267342766796603
2013-12-01,0.9999999999999968,3.219646771412954e-15,-0.13569961185870766
2014-01-01,0.9999999999955962,4.403810649478146e-12,0.13499438479593096
2014-02-01,0.9999999375358705,6.246412953547775e-08,0.16197545104579117
2014-03-01,0.9999997541500892,2.458499107627077e-07,0.04314697826888597
2014-04-01,0.999570451806639,0.0004295481933610512,0.04822240285464492
2014-05-01,0.9964766986817412,0.0035233013182588424,-0.07563048797025775
2014-06-01,0.9893165288763943,0.010683471123605681,-0.024887042114511027
2014-07-01,0.8830461721760032,0.11695382782399677,-0.09559524672703384
2014-08-01,0.9187597430948881,0.08124025690511194,0.38636750296380484
2014-09-01,0.11432073771396313,0.8856792622860369,0.01744357947193761
2014-10-01,0.0011797119109137897,0.9988202880890862,0.0006377929159309413
2014-11-01,5.829021580466191e-07,0.9999994170978419,3.820366490376679e-07
2014-12-01,7.530114044170732e-17,0.9999999999999999,9.362242152665342e-17
2015-01-01,1.1626038076795437e-28,1.0,2.2402695810872114e-28
2015-02-01,1.8862852935459676e-25,1.0,5.561397995573386e-26
2015-03-01,1.4289943110064698e-17,1.0,-1.3052176842443211e-17
2015-04-01,3.8250864438388955e-16,0.9999999999999997,-1.5207656109386892e-16
2015-05-01,9.778216007475261e-17,0.9999999999999999,-4.6552566803266394e-17
2015-06-01,4.115857103526309e-16,0.9999999999999996,-7.82559644617931e-17
2015-07-01,2.9850788479685276e-15,0.999999999999997,8.26614935165079e-16
2015-08-01,1.2843339049581032e-14,0.9999999999999871,1.3442786280825203e-14
2015-09-01,2.169489601715446e-15,0.9999999999999978,1.637351069076835e-15
2015-10-01,4.20538039466468e-16,0.9999999999999996,5.655753567439693e-17
2015-11-01,7.282310551220285e-15,0.9999999999999927,2.0306960187441768e-15
2015-12-01,2.214061487082512e-08,0.9999999778593851,1.6517641481099786e-08
2016-01-01,0.9942072273988479,0.005792772601152074,0.8458299400683478
2016-02-01,0.10245467798064231,0.8975453220193577,0.03832441659414113
2016-03-01,6.347219954774871e-07,0.9999993652780045,-2.420522178518111e-07
